seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
20081,0,50,150,12151.35,12152.09,1789623690059.4,0,forward,0
20082,0,50,150,12301.35,12302.31,1789623690209.4,0,forward,0
20083,0,50,150,12451.35,12452.37,1789623690359.4,0,forward,0
20084,0,50,150,12601.35,12602.23,1789623690509.4,0,forward,0
20085,0,50,150,12751.35,12752.03,1789623690659.4,0,forward,0
20086,0,50,150,12901.44,12902.27,1789623690809.4,0,forward,0
20087,0,50,150,13051.35,13052.14,1789623690959.4,0,forward,0
20088,0,50,150,13201.35,13202.34,1789623691109.4,0,forward,0
20089,0,50,150,13351.38,13352.12,1789623691259.4,0,forward,0
20090,0,50,150,13501.35,13502.27,1789623691409.4,0,forward,0
20091,0,50,150,13651.35,13652.09,1789623691559.4,0,forward,0
20092,0,50,150,13801.88,13802.69,1789623691709.9,0,forward,0
20093,0,50,150,13951.35,13952.31,1789623691859.4,0,forward,0
20094,0,50,150,14101.35,14102.14,1789623692009.4,0,forward,0
20095,0,50,150,14251.35,14252.31,1789623692159.4,0,forward,0
20096,0,50,150,14401.35,14402.06,1789623692309.4,0,forward,0
20097,0,50,150,14551.35,14552.03,1789623692459.4,0,forward,0
20098,0,50,150,14701.35,14702.17,1789623692609.4,0,forward,0
20099,0,50,150,14851.35,14852.18,1789623692759.4,0,forward,0
20100,0,50,150,14852.30,14853.38,1789623692760.3,0,forward,0
20101,0,50,150,15002.30,15003.17,1789623692910.3,0,forward,0
20102,0,50,150,15152.30,15153.23,1789623693060.3,0,forward,0
20103,0,50,150,15302.30,15303.45,1789623693210.3,0,forward,0
20104,0,50,150,15452.35,15453.52,1789623693360.3,0,forward,0
20105,0,50,150,15602.30,15603.38,1789623693510.3,0,forward,0
20106,0,50,150,15752.30,15753.43,1789623693660.3,0,forward,0
20107,0,50,150,15902.30,15903.05,1789623693810.3,0,forward,0
20108,0,50,150,16052.30,16053.04,1789623693960.3,0,forward,0
20109,0,50,150,16202.30,16203.28,1789623694110.3,0,forward,0
20110,0,50,150,16352.30,16353.15,1789623694260.3,0,forward,0
20111,0,50,150,16502.43,16503.05,1789623694410.4,0,forward,0
20112,0,50,150,16652.30,16653.24,1789623694560.3,0,forward,0
20113,0,50,150,16802.30,16803.03,1789623694710.3,0,forward,0
20114,0,50,150,16952.30,16953.03,1789623694860.3,0,forward,0
20115,0,50,150,17102.30,17103.22,1789623695010.3,0,forward,0
20116,0,50,150,17252.30,17252.90,1789623695160.3,0,forward,0
20117,0,50,150,17402.30,17403.03,1789623695310.3,0,forward,0
20118,0,50,150,17553.53,17554.17,1789623695461.5,0,forward,0
20119,0,50,150,17702.30,17703.11,1789623695610.3,0,forward,0
20120,0,50,150,17852.30,17852.91,1789623695760.3,0,forward,0
20121,0,50,150,18002.30,18003.29,1789623695910.3,0,forward,0
20122,0,50,150,18152.30,18153.02,1789623696060.3,0,forward,0
20123,0,50,150,18302.30,18303.15,1789623696210.3,0,forward,0
20124,0,50,150,18452.38,18453.07,1789623696360.4,0,forward,0
20125,0,50,150,18602.30,18603.04,1789623696510.3,0,forward,0
20126,0,50,150,18752.30,18753.09,1789623696660.3,0,forward,0
20127,0,50,150,18902.45,18903.01,1789623696810.5,0,forward,0
20128,0,50,150,19052.30,19053.17,1789623696960.3,0,forward,0
20129,0,50,150,19202.30,19203.28,1789623697110.3,0,forward,0
20130,0,50,150,19352.30,19353.20,1789623697260.3,0,forward,0
20131,0,50,150,19502.30,19503.08,1789623697410.3,0,forward,0
20132,0,50,150,19652.51,19653.39,1789623697560.5,0,forward,0
20133,0,50,150,19803.13,19803.85,1789623697711.1,0,forward,0
20134,0,50,150,19952.30,19953.10,1789623697860.3,0,forward,0
20135,0,50,150,20102.30,20103.39,1789623698010.3,0,forward,0
20136,0,50,150,20252.30,20253.11,1789623698160.3,0,forward,0
20137,0,50,150,20402.30,20402.98,1789623698310.3,0,forward,0
20138,0,50,150,20552.30,20552.95,1789623698460.3,0,forward,0
20139,0,50,150,20702.30,20703.04,1789623698610.3,0,forward,0
20140,0,50,150,20853.06,20853.65,1789623698761.1,0,forward,0
