seq,mode,epoch,holdMs,sendStartMs,sendEndMs,unixMs,bundle,order,msgDelay
5154,0,30,100,15402.36,15402.64,1789623353276.4,1,forward,0
5155,0,30,100,15502.36,15503.20,1789623353376.4,1,forward,0
5156,0,30,100,15602.36,15602.63,1789623353476.4,1,forward,0
5157,0,30,100,15702.36,15702.75,1789623353576.4,1,forward,0
5158,0,30,100,15802.36,15802.89,1789623353676.4,1,forward,0
5159,0,30,100,15902.36,15902.64,1789623353776.4,1,forward,0
5160,0,30,100,16002.36,16002.63,1789623353876.4,1,forward,0
5161,0,30,100,16102.36,16102.64,1789623353976.4,1,forward,0
5162,0,30,100,16202.36,16202.69,1789623354076.4,1,forward,0
5163,0,30,100,16302.50,16302.87,1789623354176.5,1,forward,0
5164,0,30,100,16402.36,16402.66,1789623354276.4,1,forward,0
5165,0,30,100,16502.36,16502.85,1789623354376.4,1,forward,0
5166,0,30,100,16602.36,16602.69,1789623354476.4,1,forward,0
5167,0,30,100,16702.36,16702.65,1789623354576.4,1,forward,0
5168,0,30,100,16802.36,16803.15,1789623354676.4,1,forward,0
5169,0,30,100,16902.36,16902.69,1789623354776.4,1,forward,0
5170,0,30,100,17002.36,17002.74,1789623354876.4,1,forward,0
5171,0,30,100,17102.36,17102.73,1789623354976.4,1,forward,0
5172,0,30,100,17202.41,17202.72,1789623355076.4,1,forward,0
5173,0,30,100,17302.36,17302.68,1789623355176.4,1,forward,0
5174,0,30,100,17402.38,17402.58,1789623355276.4,1,forward,0
5175,0,30,100,17502.36,17502.64,1789623355376.4,1,forward,0
5176,0,30,100,17602.36,17602.87,1789623355476.4,1,forward,0
5177,0,30,100,17702.36,17702.64,1789623355576.4,1,forward,0
5178,0,30,100,17802.36,17802.89,1789623355676.4,1,forward,0
5179,0,30,100,17902.36,17902.63,1789623355776.4,1,forward,0
5180,0,30,100,18002.50,18002.75,1789623355876.5,1,forward,0
5181,0,30,100,18102.39,18102.63,1789623355976.4,1,forward,0
5182,0,30,100,18202.36,18202.88,1789623356076.4,1,forward,0
5183,0,30,100,18302.36,18302.60,1789623356176.4,1,forward,0
5184,0,30,100,18402.36,18402.77,1789623356276.4,1,forward,0
5185,0,30,100,18502.36,18502.78,1789623356376.4,1,forward,0
5186,0,30,100,18602.36,18602.61,1789623356476.4,1,forward,0
5187,0,30,100,18702.36,18702.69,1789623356576.4,1,forward,0
5188,0,30,100,18802.36,18803.27,1789623356676.4,1,forward,0
5189,0,30,100,18902.36,18902.73,1789623356776.4,1,forward,0
5190,0,30,100,19002.36,19002.59,1789623356876.4,1,forward,0
5191,0,30,100,19102.36,19102.57,1789623356976.4,1,forward,0
5192,0,30,100,19203.13,19203.37,1789623357077.1,1,forward,0
5193,0,30,100,19302.36,19302.75,1789623357176.4,1,forward,0
5194,0,30,100,19402.36,19402.66,1789623357276.4,1,forward,0
5195,0,30,100,19502.48,19502.87,1789623357376.5,1,forward,0
5196,0,30,100,19602.36,19602.57,1789623357476.4,1,forward,0
5197,0,30,100,19702.36,19702.59,1789623357576.4,1,forward,0
5198,0,30,100,19802.36,19802.76,1789623357676.4,1,forward,0
5199,0,30,100,19902.36,19902.69,1789623357776.4,1,forward,0
5200,0,30,100,20002.36,20002.80,1789623357876.4,1,forward,0
5201,0,30,100,20102.36,20102.66,1789623357976.4,1,forward,0
5202,0,30,100,20202.36,20202.70,1789623358076.4,1,forward,0
5203,0,30,100,20302.36,20302.66,1789623358176.4,1,forward,0
5204,0,30,100,20402.36,20402.68,1789623358276.4,1,forward,0
5205,0,30,100,20503.34,20503.63,1789623358377.3,1,forward,0
5206,0,30,100,20602.36,20602.73,1789623358476.4,1,forward,0
5207,0,30,100,20702.36,20702.63,1789623358576.4,1,forward,0
5208,0,30,100,20802.37,20802.77,1789623358676.4,1,forward,0
5209,0,30,100,20902.36,20902.73,1789623358776.4,1,forward,0
5210,0,30,100,21002.38,21002.74,1789623358876.4,1,forward,0
5211,0,30,100,21102.36,21102.58,1789623358976.4,1,forward,0
5212,0,30,100,21202.36,21202.67,1789623359076.4,1,forward,0
5213,0,30,100,21302.36,21302.59,1789623359176.4,1,forward,0
5214,0,30,100,21402.36,21402.58,1789623359276.4,1,forward,0
5215,0,30,100,21502.36,21502.60,1789623359376.4,1,forward,0
5216,0,30,100,21602.36,21602.68,1789623359476.4,1,forward,0
5217,0,30,100,21702.36,21702.56,1789623359576.4,1,forward,0
5218,0,30,100,21802.36,21802.82,1789623359676.4,1,forward,0
5219,0,30,100,21902.36,21902.56,1789623359776.4,1,forward,0
5220,0,30,100,22002.46,22002.84,1789623359876.5,1,forward,0
5221,0,30,100,22102.36,22102.66,1789623359976.4,1,forward,0
5222,0,30,100,22202.36,22202.66,1789623360076.4,1,forward,0
5223,0,30,100,22302.36,22302.71,1789623360176.4,1,forward,0
5224,0,30,100,22402.43,22402.79,1789623360276.4,1,forward,0
5225,0,30,100,22502.36,22502.59,1789623360376.4,1,forward,0
5226,0,30,100,22602.36,22602.60,1789623360476.4,1,forward,0
5227,0,30,100,22703.17,22703.56,1789623360577.2,1,forward,0
5228,0,30,100,22802.48,22802.85,1789623360676.5,1,forward,0
5229,0,30,100,22902.36,22902.70,1789623360776.4,1,forward,0
5230,0,30,100,23002.36,23002.67,1789623360876.4,1,forward,0
5231,0,30,100,23102.37,23102.75,1789623360976.4,1,forward,0
5232,0,30,100,23202.36,23202.61,1789623361076.4,1,forward,0
5233,0,30,100,23302.36,23302.64,1789623361176.4,1,forward,0
5234,0,30,100,23402.36,23402.62,1789623361276.4,1,forward,0
5235,0,30,100,23502.36,23502.56,1789623361376.4,1,forward,0
5236,0,30,100,23602.51,23602.74,1789623361476.5,1,forward,0
5237,0,30,100,23702.36,23702.53,1789623361576.4,1,forward,0
5238,0,30,100,23802.36,23802.77,1789623361676.4,1,forward,0
5239,0,30,100,23902.36,23902.79,1789623361776.4,1,forward,0
5240,0,30,100,24002.36,24003.04,1789623361876.4,1,forward,0
5241,0,30,100,24102.36,24102.53,1789623361976.4,1,forward,0
5242,0,30,100,24203.45,24203.71,1789623362077.5,1,forward,0
5243,0,30,100,24302.38,24302.63,1789623362176.4,1,forward,0
5244,0,30,100,24402.36,24402.60,1789623362276.4,1,forward,0
5245,0,30,100,24502.53,24502.83,1789623362376.5,1,forward,0
5246,0,30,100,24602.36,24602.65,1789623362476.4,1,forward,0
5247,0,30,100,24702.36,24702.94,1789623362576.4,1,forward,0
5248,0,30,100,24802.36,24802.73,1789623362676.4,1,forward,0
5249,0,30,100,24902.36,24902.57,1789623362776.4,1,forward,0
5250,0,30,100,25002.37,25002.66,1789623362876.4,1,forward,0
5251,0,30,100,25102.36,25102.60,1789623362976.4,1,forward,0
5252,0,30,100,25202.36,25202.75,1789623363076.4,1,forward,0
5253,0,30,100,25302.40,25302.86,1789623363176.4,1,forward,0
5254,0,30,100,25402.47,25402.78,1789623363276.5,1,forward,0
5255,0,30,100,25502.36,25502.74,1789623363376.4,1,forward,0
