frame,timeMs,boardIdx,x,y,w,h,seq,mode,epoch,consistent,exact,isLocal,isFriend,allZero,mismatches,loop,valid
47,783.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67981,1
47,783.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68333,1
48,800.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67983,1
48,800.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68333,1
49,816.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67985,1
49,816.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68335,1
50,833.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67987,1
50,833.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68337,1
51,850.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67987,1
51,850.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68337,1
52,866.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67989,1
52,866.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68341,1
53,883.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67993,1
53,883.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68343,1
54,900.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67995,1
54,900.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68345,1
55,916.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67997,1
55,916.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68347,1
56,933.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,67999,1
56,933.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68349,1
57,950.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68001,1
57,950.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68351,1
58,966.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68003,1
58,966.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68355,1
59,983.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68005,1
59,983.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68355,1
60,1000.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68007,1
60,1000.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68355,1
61,1016.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68009,1
61,1016.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68359,1
62,1033.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68011,1
62,1033.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68361,1
63,1050.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68013,1
63,1050.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68363,1
64,1066.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68015,1
64,1066.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68365,1
65,1083.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68017,1
65,1083.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68367,1
66,1100.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68019,1
66,1100.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68369,1
67,1116.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68021,1
67,1116.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68371,1
68,1133.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68023,1
68,1133.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68373,1
69,1150.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68025,1
69,1150.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68375,1
70,1166.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68027,1
70,1166.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68377,1
71,1183.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68029,1
71,1183.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68379,1
72,1200.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68031,1
72,1200.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68381,1
73,1216.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68033,1
73,1216.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68383,1
74,1233.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68035,1
74,1233.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68385,1
75,1250.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68037,1
75,1250.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68387,1
76,1266.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68039,1
76,1266.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68389,1
77,1283.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68041,1
77,1283.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68391,1
78,1300.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68043,1
78,1300.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68393,1
79,1316.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68045,1
79,1316.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68395,1
80,1333.33,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68047,1
80,1333.33,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68397,1
81,1350.00,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68049,1
81,1350.00,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68399,1
82,1366.67,0,280,280,320,164,300,0,6,1,1,1,0,0,0,68051,1
82,1366.67,1,1280,340,188,166,300,0,6,1,1,0,1,0,0,68401,1
