
=== B=256 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
 wavs   q6-m4                        18 |  0.567  0.587  0.697  0.771  0.821  0.869  0.889 | 0.730
 wavs   q6-m4-rd                     18 |  0.544  0.605  0.702  0.762  0.817  0.860  0.879 | 0.729
 wavs   q24-m16                      18 |  0.573  0.606  0.648  0.690  0.731  0.760  0.805 | 0.677
 wavs   q24-m16-rd                   18 |  0.573  0.606  0.648  0.692  0.729  0.759  0.805 | 0.677
 wavs   q12-m16                      18 |  0.568  0.589  0.648  0.693  0.735  0.770  0.784 | 0.675
 wavs   q12-m16-rd                   18 |  0.568  0.589  0.648  0.694  0.731  0.766  0.781 | 0.674
 wavs   q6-m16                       18 |  0.567  0.581  0.642  0.690  0.728  0.768  0.784 | 0.670
 wavs   q6-m16-rd                    18 |  0.567  0.581  0.643  0.688  0.726  0.763  0.780 | 0.669
*wavl   L48-16-5                     18 |  0.596  0.684  0.788  0.852  0.896  0.923  0.936 | 0.806
 wavl   L48-12                       18 |  0.596  0.684  0.788  0.852  0.896  0.922  0.935 | 0.806
 wavl   L24-6                        18 |  0.587  0.662  0.764  0.832  0.884  0.921  0.935 | 0.790
*pw     n100-e8.7.6-c565a2-r128-L48-16-5   18 |  0.642  0.716  0.799  0.856  0.903  0.932  0.945 | 0.821
 pw     n300-e8.7.6-c565a2-r128-L48-16-5   18 |  0.642  0.716  0.799  0.850  0.890  0.933  0.948 | 0.819
*palq   k4-r128                      18 |  0.505  0.599  0.694  0.757  0.805  0.853  0.899 | 0.720
 palq   k4-r256                      18 |  0.502  0.585  0.675  0.734  0.776  0.814  0.833 | 0.696
 palq   k5-r128                      18 |  0.433  0.554  0.671  0.738  0.795  0.848  0.878 | 0.694
 palq   k5-r256                      18 |  0.429  0.539  0.637  0.704  0.757  0.801  0.823 | 0.663
*tile   T32-L48-16-5-t5              18 |  0.591  0.681  0.788  0.852  0.897  0.924  0.937 | 0.805
 tile   T16-L48-16-5-t10             18 |  0.590  0.683  0.787  0.852  0.896  0.923  0.937 | 0.805
 tile   T32-L48-16-5-t10             18 |  0.589  0.683  0.786  0.853  0.897  0.924  0.937 | 0.805
 tile   T32-L48-16-5-t20             18 |  0.591  0.682  0.785  0.852  0.898  0.924  0.937 | 0.805
 tile   T32-L48-16-5-t40             18 |  0.589  0.681  0.783  0.850  0.896  0.924  0.937 | 0.804
 tile   T64-L48-16-5-t10             18 |  0.587  0.679  0.785  0.852  0.895  0.921  0.934 | 0.803

=== B=64 (metric msssimc, AUC over log t, training images) ===
codec  cfg                        imgs |    t=1    t=2    t=5   t=10   t=20   t=40   t=60 |   AUC
*prim   e7.6.5-c565a2-r128-n400      18 |  0.570  0.641  0.730  0.795  0.848  0.891  0.913 | 0.761
 prim   e8.7.5-c444a2-r256-n400      18 |  0.567  0.636  0.729  0.796  0.847  0.891  0.915 | 0.759
 prim   e8.7.5-c444a2-r256-n1280     18 |  0.567  0.636  0.729  0.796  0.847  0.891  0.912 | 0.759
 prim   q8-c565a2-r256-n1280         18 |  0.565  0.632  0.723  0.786  0.843  0.887  0.910 | 0.754
 prim   t7-c332a1-r256-n1280         18 |  0.554  0.622  0.713  0.783  0.833  0.872  0.891 | 0.744
*pal    g32-k3                       18 |  0.470  0.580  0.670  0.767  0.782  0.782  0.782 | 0.691
 pal    g64-k3                       18 |  0.430  0.515  0.607  0.726  0.786  0.864  0.869 | 0.672
 pal    g32-k5                       18 |  0.391  0.381  0.606  0.704  0.808  0.817  0.818 | 0.633
 pal    g128-k3                      18 |  0.390  0.458  0.530  0.646  0.710  0.817  0.834 | 0.608
 pal    g64-k5                       18 |  0.391  0.356  0.528  0.618  0.731  0.816  0.875 | 0.588
 pal    g128-k5                      18 |  0.391  0.365  0.464  0.543  0.642  0.749  0.826 | 0.538
*dctf   r128-s8                      18 |  0.415  0.510  0.585  0.667  0.725  0.744  0.816 | 0.626
 dctf   r128-s4                      18 |  0.399  0.471  0.587  0.640  0.734  0.784  0.793 | 0.619
 dctf   r128-s2                      18 |  0.395  0.451  0.591  0.639  0.734  0.797  0.822 | 0.618
 dctf   r256-s8                      18 |  0.387  0.390  0.461  0.620  0.695  0.749  0.778 | 0.562
 dctf   r256-s4                      18 |  0.388  0.387  0.436  0.581  0.700  0.757  0.803 | 0.553
 dctf   r256-s2                      18 |  0.388  0.387  0.422  0.551  0.700  0.753  0.797 | 0.544
*dctv   r128-s8                      18 |  0.497  0.591  0.679  0.760  0.813  0.825  0.825 | 0.710
 dctv   r128-s4                      18 |  0.453  0.545  0.640  0.732  0.812  0.880  0.885 | 0.694
 dctv   r128-s2                      18 |  0.417  0.508  0.608  0.692  0.772  0.871  0.910 | 0.664
 dctv   r256-s8                      18 |  0.389  0.437  0.587  0.703  0.762  0.826  0.871 | 0.636
 dctv   r256-s4                      18 |  0.384  0.409  0.534  0.681  0.757  0.819  0.855 | 0.613
